year,period,imports,exportsfob,balance,total_trade,crude_oil_exports,non_crude_oil_exports,non_oils_exports,exports_/_total_trade,crude_oil_/total_exports,non_oil_export/total_export,change_imports,change_exports,month_num,frequency
2023,Jan,2317542.662504146,2286075.554270498,-31467.108233647887,4603618.216774644,1797906.24053764,488169.3137328581,260798.07789446783,49.65823503653074,78.64596763563065,11.408112798690516,87.54459312785093,-2.8474548787491654,1.0,monthly
2023,Feb,1944656.294778032,1916083.948387284,-28572.346390748164,3860740.243165316,1520811.52152861,395272.4268586738,198598.25015090383,49.6299628492058,79.37081894604023,10.36479901196702,-16.089730461453666,-16.184574704543436,2.0,monthly
2023,Mar,2203903.4273909847,2284879.379097669,80975.9517066842,4488782.806488654,1829861.90816411,455017.4709335589,204377.52216946887,50.90198117393463,80.08571152174993,8.944783870830875,13.331257215432194,19.24735244615928,3.0,monthly
2023,Apr,1934419.199226681,1786236.2049599,-148182.99426678102,3720655.404186581,1390806.9148952,395429.2900647,197245.48011066,48.00864393273237,77.86243000972107,11.042519436285192,-12.227587870459615,-21.823610414598352,4.0,monthly
2023,May,2645166.164524198,1887512.453980543,-757653.7105436551,4532678.618504741,1466062.7807437,421449.67323684297,211501.22926025305,41.64231821498969,77.67168781599004,11.205289205600826,36.74213767014157,5.669812801880626,5.0,monthly
2023,Jun,1722363.391956975,2761381.5481257727,1039018.1561687978,4483744.940082748,2148838.07653739,612543.471588383,292880.8291001534,61.58649934433629,77.81749964961801,10.60631513594852,-34.88638199533348,46.2973948755857,6.0,monthly
2023,Jul,2864333.552654,3016388.880197063,152055.3275430631,5880722.432851063,2452245.1840205,564143.6961765629,267511.26554476283,51.29282863865201,81.29738178388634,8.868593413170457,66.3025100295183,9.23477352285384,7.0,monthly
2023,Aug,3485482.724620862,3462597.683406026,-22885.04121483583,6948080.408026888,2826538.6425026003,636059.0409034258,234170.9613457257,49.83531392938115,81.63058203522627,6.762869462656735,21.685643817261607,14.792814220287532,8.0,monthly
2023,Sep,2691420.822132155,3867617.286985065,1176196.46485291,6559038.109117219,3256828.368193,610788.9187920648,181340.25833520436,58.96622679488605,84.20761741738426,4.688681554543496,-22.78197785573825,11.696987077650798,9.0,monthly
2023,Oct,3457686.161313038,4141072.896035491,683386.7347224532,7598759.057348529,3560711.422371,580361.4736644924,290144.0079974318,54.496699589794005,85.98523889255587,7.006493613652751,28.47066251697661,7.070389564413062,10.0,monthly
2023,Nov,3014709.160280184,4267979.998296103,1253270.8380159196,7282689.158576287,3345174.39791802,922805.6003780809,413042.8763415292,58.60445098456547,78.37839913152145,9.677713496933624,-12.811370967937584,3.064594742635521,11.0,monthly
2023,Dec,2581381.974809106,4284566.608943998,1703184.634134892,6865948.583753103,3404818.1130188,879748.4959251992,392243.4691320178,62.403126919455374,79.46703654720338,9.154799188165558,-14.373764181975185,0.3886290623320638,12.0,monthly
2024,Jan,3716195.542458,6246957.736377971,2530762.193919971,9963153.27883597,5200489.418373885,1046468.3180040866,591272.4189905031,62.7006085477772,83.24835284365416,9.464965891274412,43.961474075637874,45.801391518514336,1.0,monthly
2024,Feb,4822305.79483837,6657421.749213317,1835115.954374948,11479727.544051688,5483536.29869788,1173885.450515438,468030.4438290382,57.992855001710495,82.36726626709279,7.030205708153364,29.76458692076134,6.570622535911952,2.0,monthly
2024,Mar,5431552.696993509,6262979.699882366,831427.0028888565,11694532.396875875,4802606.93912326,1460372.760759106,719545.388877701,53.55476805173915,76.68246057405341,11.488866695372115,12.633933393590604,-5.924846948108123,3.0,monthly
2024,Apr,4445749.6540619405,5546168.819648637,1100419.165586697,9991918.473710578,3965351.17741404,1580817.6422345974,681225.4651436796,55.506545957525454,71.49712362461506,12.282811564088613,-18.14956234296012,-11.445205231100967,4.0,monthly
2024,May,4875383.94365649,5946152.736965321,1070768.7933088308,10821536.68062181,4414195.385052392,1531957.3519129287,679423.6243027803,54.94739714381907,74.23615874531372,11.426272656587209,9.66393348761792,7.211895820762691,5.0,monthly
2024,Jun,4176763.576441113,6053301.062954624,1876537.4865135115,10230064.639395736,4229848.2940929765,1823452.768861648,583599.3428890817,59.17167951846076,69.87672098417623,9.641009703955252,-14.329545637618416,1.801977357951074,6.0,monthly
2024,Jul,4971869.478460282,7094192.454182182,2122322.9757219004,12066061.932642464,4394083.471394627,2700108.982787555,1164602.5930115038,58.79459672745568,61.93916361550381,16.416281353136185,19.03641150540423,17.19543403511964,7.0,monthly
2024,Aug,5317277.061384959,7345006.78541366,2027729.724028701,12662283.84679862,5107035.902322699,2237970.883090961,676698.7447258008,58.00696678641179,69.53071728217714,9.21304451439918,6.947237541554388,3.5354881172361923,8.0,monthly
2024,Sep,4384900.25829181,6047190.706325478,1662290.448033668,10432090.964617288,3905247.85038826,2141942.8559372183,660548.588535919,57.96719686241085,64.57953850046924,10.923230647331373,-17.53485463197396,-17.66936528452902,9.0,monthly

